symbol, avg_price, max_change, avg_atr, stddev_atr, avg_volume
AMAG, 20.8226, 0.0690, 0.0297, 0.0111, 685.0000
AMAP, 11.9796, 0.0631, 0.0165, 0.0098, 1939.0000
AMAT, 15.4324, 0.0645, 0.0083, 0.0039, 34333.0000
AMBA, 16.5951, 0.0878, 0.0270, 0.0136, 3313.0000
AMBC, 24.2259, 0.0528, 0.0253, 0.0168, 2827.0000
AMBO, 1.9396, 0.2059, 0.0073, 0.0051, 1605.0000
AMCC, 8.5441, 0.0891, 0.0102, 0.0068, 2441.0000
AMCN, 1.9745, 0.1459, 0.0112, 0.0076, 882.0000
AMCX, 65.6218, 0.0419, 0.0337, 0.0203, 1431.0000
AMD, 4.0521, 0.1370, 0.0052, 0.0022, 77997.0000
AMED, 11.4550, 0.2701, 0.0140, 0.0094, 1470.0000
AME, 43.1575, 0.0149, 0.0173, 0.0082, 2448.0000
AMGN, 101.6954, 0.0184, 0.0572, 0.0265, 7948.0000
AMG, 163.5611, 0.0216, 0.1027, 0.0447, 1137.0000
AMID, 18.1067, 0.0503, 0.0651, 0.0316, 646.0000
AMJ, 46.8197, 0.0163, 0.0308, 0.0118, 2639.0000
AMKR, 4.3838, 0.0881, 0.0042, 0.0018, 2700.0000
AMLP, 17.7491, 0.0149, 0.0052, 0.0019, 8250.0000
AMPE, 5.4489, 0.2146, 0.0124, 0.0078, 1459.0000
AMP, 124.1900, 9976.0253, 83.4157, 1859.9882, 2973.0000
AMRC, 8.1285, 0.0310, 0.0105, 0.0042, 667.0000
AMRE, 18.6027, 0.0464, 0.0391, 0.0286, 771.0000
AMRI, 11.4805, 0.0861, 0.0174, 0.0090, 1533.0000
AMRN, 6.3676, 0.1492, 0.0073, 0.0063, 9892.0000
AMRS, 2.8666, 0.4286, 0.0067, 0.0057, 1126.0000
AMSC, 2.5550, 0.1197, 0.0048, 0.0021, 2284.0000
AMSF, 32.4109, 0.0978, 0.0441, 0.0192, 451.0000
AMSG, 34.5402, 0.0292, 0.0281, 0.0120, 747.0000
AMSWA, 8.2537, 0.1268, 0.0187, 0.0078, 581.0000
AMTD, 24.1480, 0.0397, 0.0130, 0.0070, 10134.0000
AMTG, 18.6410, 0.0389, 0.0132, 0.0065, 1963.0000
AMT, 76.8348, 0.0253, 0.0354, 0.0190, 9801.0000
AMWD, 34.3302, 0.0508, 0.0549, 0.0211, 639.0000
AMX, 20.4366, 0.0209, 0.0112, 0.0051, 16627.0000
AMZN, 279.9683, 0.0220, 0.1420, 0.0601, 6657.0000
AM, 18.1434, 0.1235, 0.0054, 0.0049, 2224.0000
ANAC, 6.1114, 0.1475, 0.0115, 0.0060, 1491.0000
ANAD, 2.0449, 0.8182, 0.0043, 0.0044, 2569.0000
ANAT, 85.6462, 0.0520, 0.1667, 0.0731, 361.0000
ANCX, 13.9289, 0.1362, 0.0443, 0.0212, 568.0000
ANDE, 52.8092, 0.0618, 0.0528, 0.0211, 626.0000
ANEN, 21.1839, 0.1351, 0.0373, 0.0186, 517.0000
ANFI, 7.8014, 0.1048, 0.0251, 0.0115, 1006.0000
ANF, 49.9390, 0.0537, 0.0313, 0.0166, 4288.0000
ANGI, 25.1502, 0.1015, 0.0279, 0.0138, 2964.0000
ANGO, 11.2514, 0.1129, 0.0135, 0.0069, 735.0000
ANH, 5.6022, 0.0306, 0.0045, 0.0017, 3968.0000
ANIK, 14.4882, 0.0738, 0.0281, 0.0123, 700.0000
ANN, 31.9981, 0.0325, 0.0193, 0.0092, 2707.0000
ANR, 6.0719, 9.0230, 0.0129, 0.1139, 27384.0000
ANSS, 75.4913, 0.0906, 0.0421, 0.0209, 1109.0000
ANTH, 0.8987, 6.5490, 0.0028, 0.0056, 3841.0000
ANV, 7.1499, 0.0728, 0.0122, 0.0061, 8205.0000
ANW, 7.9566, 0.0635, 0.0121, 0.0054, 1243.0000
ANX, 0.6570, 0.1017, 0.0033, 0.0019, 3634.0000
AN, 45.3796, 0.0421, 0.0229, 0.0119, 2169.0000
AOA, 39.5087, 0.0181, 0.0234, 0.0094, 792.0000
AOD, 4.0865, 0.0281, 0.0034, 0.0013, 4176.0000
AOI, 3.8233, 0.0231, 0.0049, 0.0021, 1129.0000
AOL, 36.5909, 0.0618, 0.0242, 0.0142, 2920.0000
AOM, 32.5306, 0.0134, 0.0164, 0.0064, 913.0000
AON, 65.4533, 0.0126, 0.0227, 0.0110, 3070.0000
AOR, 35.4574, 0.0124, 0.0163, 0.0093, 804.0000
AOSL, 8.1979, 0.1268, 0.0173, 0.0128, 960.0000
AOS, 44.5293, 0.5018, 0.0269, 0.0479, 1763.0000
APAGF, 12.7042, 0.1425, 0.0589, 0.0251, 589.0000
APAM, 45.7116, 0.0539, 0.0512, 0.0221, 739.0000
APA, 83.4224, 0.0276, 0.0387, 0.0183, 8699.0000
APC, 88.1282, 0.0219, 0.0443, 0.0206, 6587.0000
APD, 94.9393, 0.0225, 0.0325, 0.0192, 4474.0000
APEI, 35.6133, 0.0326, 0.0378, 0.0171, 873.0000
APFC, 24.4623, 0.1007, 0.0738, 0.0354, 505.0000
APF, 15.8779, 0.0284, 0.0187, 0.0089, 693.0000
APH, 78.9997, 0.0717, 0.0328, 0.0186, 1904.0000
APKT, 26.9945, 0.2240, 0.0108, 0.0137, 7502.0000
APL, 37.8621, 0.0177, 0.0258, 0.0100, 1701.0000
APOG, 26.0335, 0.1047, 0.0267, 0.0126, 1047.0000
APOL, 19.6248, 0.0648, 0.0166, 0.0094, 7603.0000
APO, 24.7769, 0.0502, 0.0287, 0.0127, 4191.0000
APPY, 1.8054, 0.1136, 0.0074, 0.0048, 3794.0000
APP, 1.9626, 0.0769, 0.0043, 0.0019, 2177.0000
APRI, 2.6442, 0.4190, 0.0083, 0.0047, 2322.0000
APTS, 8.8144, 0.1000, 0.0277, 0.0124, 706.0000
APU, 45.6490, 0.0588, 0.0540, 0.0260, 866.0000
AP, 18.7987, 0.0227, 0.0533, 0.0145, 372.0000
AQ, 8.8940, 1.1628, 0.0170, 0.0171, 1436.0000
ARAY, 5.3705, 0.2195, 0.0056, 0.0031, 2704.0000
ARB, 46.7051, 0.0143, 0.0058, 0.0042, 1268.0000
ARCC, 17.3452, 0.0171, 0.0066, 0.0026, 5120.0000
ARCO, 13.0249, 0.0424, 0.0095, 0.0046, 2492.0000
ARCP, 15.4481, 0.0638, 0.0114, 0.0078, 9270.0000
